District,Name,ASSET_2011
495,Daman,3
496,Dadra & Nagar Haveli,2
497,Nandurbar,2
498,Dhule,2
499,Jalgaon,2
500,Buldana,2
501,Akola,2
502,Washim,2
503,Amravati,2
504,Wardha,3
505,Nagpur,3
506,Bhandara,1
507,Gondiya,1
508,Gadchiroli,1
509,Chandrapur,1
510,Yavatmal,2
511,Nanded,2
512,Hingoli,2
513,Parbhani,2
514,Jalna,2
515,Aurangabad,3
516,Nashik,3
517,Thane,3
518,Mumbai Suburban,3
519,Mumbai,3
520,Raigarh,3
521,Pune,3
522,Ahmadnagar,3
523,Bid,2
524,Latur,2
525,Osmanabad,2
526,Solapur,1
527,Satara,3
528,Ratnagiri,2
529,Sindhudurg,2
530,Kolhapur,3
531,Sangli,3
532,Adilabad,2
533,Nizamabad,3
534,Karimnagar,3
535,Medak,3
536,Hyderabad,3
537,Rangareddy,3
538,Mahbubnagar,2
539,Nalgonda,3
540,Warangal,3
541,Khammam,3
542,Srikakulam,2
543,Vizianagaram,2
544,Visakhapatnam,3
545,East Godavari,3
546,West Godavari,3
547,Krishna,3
548,Guntur,3
549,Prakasam,2
550,Sri Potti Sriramulu Nellore,2
551,Y.S.R.,2
552,Kurnool,3
553,Anantapur,2
554,Chittoor,3
555,Belgaum,3
556,Bagalkot ,1
557,Bijapur,1
558,Bidar,2
559,Raichur,2
560,Koppal,2
561,Gadag,2
562,Dharwad,3
563,Uttara Kannada,3
564,Haveri,2
565,Bellary,3
566,Chitradurga,2
567,Davanagere,3
568,Shimoga,3
569,Udupi,3
570,Chikmagalur,3
571,Tumkur,3
572,Bangalore,3
573,Mandya,3
574,Hassan,3
575,Dakshina Kannada,3
576,Kodagu,3
577,Mysore,3
578,Chamarajanagar,2
579,Gulbarga,2
580,Yadgir,2
581,Kolar,3
582,Chikkaballapura,3
583,Bangalore Rural,3
584,Ramanagara,3
585,North Goa,3
586,South Goa,3
587,Lakshadweep,3
588,Kasaragod,2
589,Kannur,3
590,Wayanad,2
591,Kozhikode,3
592,Malappuram,3
593,Palakkad,3
594,Thrissur,3
595,Ernakulam,3
596,Idukki ,3
597,Kottayam,3
598,Alappuzha,3
599,Pathanamthitta,3
600,Kollam,3
601,Thiruvananthapuram,3
602,Thiruvallur,3
603,Chennai,3
604,Kancheepuram,3
605,Vellore,3
606,Tiruvannamalai,3
607,Viluppuram,3
608,Salem,3
609,Namakkal   ,3
610,Erode,3
611,The Nilgiris,3
612,Dindigul,3
613,Karur ,3
614,Tiruchirappalli,3
615,Perambalur  ,3
616,Ariyalur  ,3
617,Cuddalore,3
618,Nagapattinam  ,3
619,Thiruvarur,3
620,Thanjavur,3
621,Pudukkottai,3
622,Sivaganga,3
623,Madurai,3
624,Theni  ,3
625,Virudhunagar,3
626,Ramanathapuram,3
627,Thoothukkudi,3
628,Tirunelveli ,3
629,Kanniyakumari,3
630,Dharmapuri,3
631,Krishnagiri,3
632,Coimbatore,3
633,Tiruppur,3
634,Yanam,3
635,Puducherry,3
636,Mahe,3
637,Karaikal,3
638,Nicobars,3
639,North  & Middle Andaman,2
640,South Andaman,3
