STATE,NAME,District,EMP_2011,EMP_2001,MSW_2011,MSW_2001,BF_2011,BF_2001,MSL_2011,MSL_2001,FC_2011,FC_2001,CHH_2011,CHH_2001,F_EMP_2001,F_EMP_2011,EMP_change,MSW_change,BF_change,MSL_change,FC_change,CHH_change,F_EMP_change,Asset_2001,Asset_2011,Asset_Change
9,Meerut,138,3,3,2,2,3,2,3,2,3,2,2,2,1,1,2,2,3,3,3,2,2,2,3,3
9,Baghpat,139,1,1,2,2,3,2,2,2,2,2,2,2,1,1,2,2,3,2,2,2,2,1,2,3
9,Ghaziabad,140,3,3,2,2,3,2,3,2,3,3,2,2,1,1,2,2,3,3,2,2,2,2,3,3
9,Gautam Buddha Nagar,141,3,3,3,2,3,2,3,2,3,3,3,2,1,1,2,3,3,3,2,3,2,2,3,3
9,Bulandshahar ,142,1,1,2,2,1,1,1,1,2,2,1,2,2,1,2,2,2,2,2,1,1,1,2,3
9,Aligarh,143,1,1,2,2,1,1,2,1,2,2,2,1,1,1,2,2,2,3,2,3,2,1,2,3
9,Hathras ,144,1,1,2,2,1,1,2,1,2,2,1,1,1,1,2,2,2,3,2,2,2,1,2,3
9,Mathura,145,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,3
9,Agra,146,1,1,2,2,1,1,3,2,3,2,2,2,1,1,2,2,2,3,3,2,2,2,3,3
9,Firozabad,147,1,1,2,2,1,1,2,1,2,2,1,1,1,1,2,2,2,3,2,2,2,1,2,3
9,Mainpuri,148,1,1,2,2,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,1,2,3
9,Budaun,149,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2
9,Bareilly,150,1,1,2,2,3,2,1,1,2,2,1,1,1,1,2,2,3,2,2,2,2,1,2,3
9,Pilibhit,151,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1,2,3
9,Shahjahanpur,152,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2
9,Kheri,153,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2
9,Sitapur,154,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2
9,Hardoi,155,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2
9,Unnao,156,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2
9,Lucknow,157,3,3,3,3,3,2,2,2,3,3,2,2,1,1,2,2,3,2,2,2,2,2,3,3
9,Rae Bareli,158,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,1,1,1,2
9,Farrukhabad,159,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,2,3
9,Kannauj,160,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2
9,Etawah,161,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,2,2,3,2,2,2,1,2,3
9,Auraiya,162,1,1,2,2,1,1,1,1,1,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2
9,Kanpur Dehat,163,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,1,2
9,Kanpur Nagar,164,3,3,2,2,3,2,2,2,3,3,2,2,1,1,2,2,3,2,2,2,2,2,2,2
9,Jalaun ,165,1,1,2,2,1,1,1,1,2,2,1,2,1,1,2,2,2,2,2,1,2,1,2,3
9,Jhansi,166,1,1,2,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,2,3
9,Lalitpur,167,2,2,2,1,1,1,1,1,1,1,2,2,3,1,2,3,2,2,2,2,1,1,1,2
9,Hamirpur,168,1,1,2,2,1,1,1,1,2,2,2,2,3,1,2,2,2,2,2,2,1,1,1,2
